"Id","Name","Aka","Type","Clan","Discipline","Pool Cost","Blood Cost","Conviction Cost","Burn Option","Card Text","Flavor Text","Set","Requirement","Banned","Artist","Capacity","Draft"
"100001",".44 Magnum","","Equipment","","","2","","","","Weapon: gun.
Strike: 2R damage, with 1 optional maneuver each combat.","","Jyhad:C, VTES:C, Sabbat:C, SW:PB, CE:PTo3, LoB:PO3, FB:PTr2, V5:PTr1","","","Né Né Thomas; Greg Simanson","",""
"100002","419 Operation","","Action","Osebo","","","","","","+1 stealth action.
Put this card in play. During your unlock phase, you may move 1 pool from your prey's pool to this card or move the pool on this card to your pool. Your prey can burn the Edge to move the counters on this card to his or her pool and burn this card.","","EK:C","","","Avery Butterworth","",""
"100003","Aaron's Feeding Razor","","Equipment","","","1","","","","Unique{}.
{The bearer gets +1 hunt.}","","Jyhad:R, VTES:R, CE:R, KoT:R","","","Thomas Nairb; Christopher Rush","",""
"100004","Abactor","","Action","","","","","","","+1 stealth{} action.
{Hunt at +4 hunt}. After successful resolution, a referendum is called to call a blood hunt on this vampire (independent of the action, just as if {they} had committed diablerie).","","Promo-20090401","","","Juan Calle","",""
"100005","Abandoning the Flesh","","Reaction/Combat","","Dementation","","","","","Only usable by a vampire being burned. Usable by a vampire in torpor.
[dem] Remove this vampire from the game instead (diablerie, if any, is still successful), and put this card into play. You may not play this card if you already have an Abandoning the Flesh in play. {Lock during a bleed action to give an acting vampire with Dementation [dem] +1 bleed.}","","CE:R, Third:R","","","Steve Ellis","",""
"100006","Abbot","","Action","","","","","","","+1 stealth action. Requires a Sabbat vampire.
Put this card on this acting Sabbat vampire and unlock him or her. This Sabbat vampire gets +1 intercept against (D) actions directed at his or her controller. A vampire may have only one Abbot.","","Third:U, HttB:PSal3","sabbat","","John Bridges","",""
"100007","Abjure","","Power","","Redemption","","","","","[COMBAT] Lock this imbued before range is determined to end a combat between a monster and a mortal. If the mortal is a minion other than this imbued, you may move a conviction [1 CONVICTION] to this imbued from your hand or ash heap.","","NoR:R","","","Brian LeBlanc","",""
"100008","Ablative Skin","","Action","","Fortitude","","","","","+1 stealth action.
[for] Put this card on the acting vampire and put 3 ablative counters on this card. While in combat, this vampire may remove any number of ablative counters from this card to prevent that amount of non-aggravated damage. Burn this card when it has no more ablative counters.
[FOR] As above, but this vampire may also prevent aggravated damage in combat in this way.","","Sabbat:R, SW:R, Third:R","","","Richard Thomas","",""
"100009","Abombwe","","Master","","","","","","","Master: Discipline. Trifle.
Put this card on a Laibon or on a vampire with Protean [pro]. This vampire gains one level of Abombwe [abo]. Capacity increases by 1: the vampire is one generation older. Cannot be placed on a vampire with superior Abombwe [ABO].","","LoB:C/PA","","","Ken Meyer, Jr.","+1",""
"100010","Abomination","","Action","","","1","","","","+1 stealth action. Requires a ready non-sterile vampire.
Burn a ready unlocked werewolf ally you control to put this card in play. It becomes a unique Independent Abomination with 4 capacity, superior Protean [PRO] and +1 strength. Move up to 4 blood from the acting vampire to this vampire. This vampire gets an additional strike {(limited)} each round and an optional maneuver each combat. He may enter combat with a ready minion as a (D) action.","","FN:R, KoT:R","non-sterile","","Steve Prescott","4",""
"100011","Absimiliard's Army","","Event","","","","","","","Gehenna. Do not replace until a Methuselah is ousted.
Requires at least one other Gehenna card in play. During each Methuselah's unlock phase, he or she may put the top card of his or her library in play. That card represents a nameless, textless ghoul ally with 2 life, 2 strength and 1 bleed. If the ally is burned, it is removed from the game. When a Methuselah is ousted, burn this card. Remove all such allies from the game when this card leaves play.","","Gehenna:R","1 Gehenna","","Richard Thomas","",""
"100012","Absolution of the Diabolist","","Master","","","1","","","","Master: out-of-turn.
Requires a ready justicar or Inner Circle member. This card is playable during your minion phase. Only usable when a vampire is about to be burned by a blood hunt. Cancel that blood hunt.","","AH:U5, CE:U","justicar,inner circle","","Scott Kirschner","",""
"100013","Absorb the Mind","","Combat","","Mytherceria/Dominate","","","","","[dom] Strike: dodge.
[myt] Strike: ranged. Steal 1 blood.
[MYT] Strike: ranged. Steal 1 blood and steal 1 master: Discipline card from the opposing vampire (put it on this striking vampire).","","BL:C2, LoB:C, HttB:PKia3","","","Steve Ellis","",""
"100014","Abyssal Hunter","","Ally","Lasombra","","2","","","","Demon with 4 life. 3 strength, 0 bleed.
Abyssal Hunter can inflict 1 damage on any minion as a (D) action. During your unlock phase, Abyssal Hunter inflicts 1 damage on a ready vampire you control. Burn Abyssal Hunter if any ranged aggravated damage is inflicted on it (even if prevented).","","BH:R2, POD:DTC","","","Jeff Holt","",""
"100015","Academic Hunting Ground","","Master","Tremere","","2","","","","Unique location. Hunting ground.
During your unlock phase, a ready vampire you control can gain 1 blood. A vampire can gain blood from only one hunting ground each turn.","","Jyhad:U, VTES:U, CE:U/PTr, KoT:U, FB:PTr1, V5:PTr1","","","Michael Weaver; Mike Huddleston","",""
"100016","Acheron Vortex","","Action Modifier","Harbinger of Skulls","","","","","","Minions without Necromancy [nec] or Obtenebration [obt] get -1 intercept.","","LK:4, POD:DTC","","","Ginés Quiñonero","",""
"100017","Achilles' Heel","","Master","Blood Brother","","","","","","Unique.
Put this card on a vampire controlled by another Methuselah and choose a circle. While this vampire is in torpor, Blood Brothers of the chosen circle get +1 bleed against this vampire's controller. Any minion can burn this card as a (D) action.","","LK:2","","","Mick Bertilorenzi","",""
"100018","Aching Beauty","","Master","Toreador","","2","","","","Put this card on any Toreador. If this Toreador is blocked, the blocking minion's controller burns 1 pool before block resolution.","From heaven or hell, O Beauty, came you hence?
Out from your gaze, infernal and divine,
Pours blended evil and beneficence...
Charles Baudelaire, ""Hymn to Beauty""","Jyhad:U, VTES:U, CE:U, KoT:U, FB:PTo3","","","Dave Roach & Pete Burges; Chris Stevens; Dave Roach & Pete Burges","",""
"100019","Acquired Ventrue Assets","","Master","Giovanni","","","","","","Put this card in play with 1 blood for each Giovanni you control. During your master phase, you can move 1 blood from this card to a Giovanni you control. Burn this card if it has no blood. Any non-Ventrue minion can burn this card as a (D) action.","","DS:U, FN:PG, POD:DTC","","","Richard Kane Ferguson","",""
"100020","Acrobatics","","Combat","","Celerity","","1","","","[cel] Additional strike {(limited)}.
[CEL] Strike: dodge, with an additional strike {(limited)}.","","Jyhad:C, VTES:C, SW:PB, CE:C/PB2, BH:PTo4, KMW:PAl2/PG3, Third:C/PB3","","","Douglas Shuler","",""
"100021","Adaptability","","Combat","","Protean","","1","","","[pro] {This vampire treats all aggravated damage from the opposing minion's strike as normal damage.}
[PRO] Prevent all aggravated damage from the opposing minion's strike.","A permanent state of transition is man's most noble condition.
Juan Ramon Jiminez","Sabbat:R, SW:R","","","Hannibal King","",""
"100022","Adhocracy","","Action Modifier","","Animalism/Chimerstry/Potence","","","","","Requires an anarch.
[ani] Only usable during a bleed action. +1 bleed (limited).
[chi] Only usable during the polling step of a political action. This anarch gets +3 votes.
[pot] If this anarch is blocked, they get +1 strength in the resulting combat.","","AU:C","anarch","","Ginés Quiñonero","",""
"100023","Admonitions, The","","Master","","","","","","","Unique master.
Put this card in play. Lock to discard one card if you control a ready Sabbat vampire. Lock to draw two cards if you control a ready Black Hand vampire. During your discard phase, control of The Admonitions passes counter-clockwise until it is controlled by a Methuselah who controls a ready Sabbat vampire (or is burned if there are none).","","BH:U, Third:U","","","Peter Bergting","",""
"100024","Agate Talisman","","Equipment","","","","","","","Only usable by a vampire with capacity 4 or more.
The bearer can lock this card during the polling step of any referendum before votes and ballots are cast to get +1 vote. A vampire can have only one Agate Talisman.","","KoT:C/B1","","","Brian LeBlanc","",""
"100025","Agent of Power","","Master","","","","","","","Master: Discipline. Trifle. Unique.
Put this card on a vampire you control and choose a Discipline. This vampire gains 1 level of that Discipline. Burn this card during your discard phase.","","LotN:C, HttB:PSam4","","","Jeff Holt","",""
"100026","Aggressive Tactics","","Master","","","2","","","","Master.
Put this card in play and choose a Methuselah. While this card is in play, the chosen Methuselah's hand size is reduced by one. Any vampire may burn this card as a (D) action.","","Sabbat:R, SW:R","","","John Matson","",""
"100027","Ahriman's Demesne","","Combat","","Obtenebration","","2","","","Only usable at long range. Not usable during the first round of combat.
[obt] Strike: 1R aggravated damage.
[OBT] As above, and if the opposing vampire would go to torpor during the resolution of this strike, instead they are burned.","","Gehenna:C, POD:DTC","","","Monte Moore","",""
"100028","Ahrimane Protectorate","","Action","Ahrimane","","","","","","+1 stealth action. Unique.
Put this card in play, and this Ahrimane may burn 1 blood to unlock at the end of the action. You may burn this card to cause a (D) action directed at an ally or location you control to fail. You may burn this card during a (D) action against you to give an Ahrimane you control +1 intercept.","","LoB:C","","","Josh Timbrook","",""
"100029","Aid from Bats","","Combat","","Animalism","","","","","[ani] Strike: 1R damage, with 1 optional maneuver.
[ANI] As above, with 1 optional press.","Hanging upside down like rows of disgusting old rags
And grinning in their sleep. Bats!
D.H. Lawrence, ""Bat""","Jyhad:C, VTES:C, CE:C/PN3, Anarchs:PG2, Third:C, KoT:C, FB:PN6","","","Melissa Benson; Eric Lofgren","",""
"100030","Ailing Spirit, The","","Action","","Obeah/Dominate","","","","","[dom] (D) Bleed with +1 bleed.
[obe] (D) Bleed with +1 bleed. Vampires with Dementation [dem], mortals, and mages get -1 intercept against this action.
[OBE] +1 stealth action. (D) Take control of any Malkavian, Malkavian antitribu, mortal, or mage until the end of the turn.","","HttB:R/B2","","","Aaron Acevedo","",""
"100031","Aire of Elation","","Action Modifier","","Presence","","1","","","Only usable during a bleed action.
[pre] +1 bleed, with an additional +1 bleed if this vampire is Toreador (limited).
[PRE] +2 bleed, with an additional +1 bleed if this vampire is Toreador (limited).","","DS:C3, FN:PS3, CE:C/PTo3, Anarchs:PAB, KMW:PAn2, FB:PTo4, V5:PTo2","","","Greg Simanson","",""
"100032","AK-47","","Equipment","","","5","","","","Weapon. Gun.
2R damage each strike, with an optional maneuver each combat. When bearer strikes with this gun, he or she gets an optional additional strike {(limited)} this round, only usable to strike with this gun.","","LotN:R","","","Franz Vohwinkel","",""
"100033","Akhenaten, The Sun Pharaoh","Akhenaten, The Sun Pharaoh (Mummy)","Ally","","","4","","","","Unique mummy with 3 life. 3 strength, 1 bleed.
Akhenaten can play cards requiring basic Necromancy [nec] as a 3-capacity vampire. In combat with a Follower of Set, any damage he inflicts is aggravated. Akhenaten can burn himself to burn a Follower of Set controlled by your prey as a (D) action. If he is burned, shuffle him into his owner's library.","","AH:R2, FN:PG, POD:DTC","","","Rebecca Guay","",""
"100034","Akunanse Kholo","","Action Modifier/Reaction","Akunanse","","","","","","Only usable during a referendum. Usable by a locked vampire. Title.
Put this card on this Laibon Akunanse to represent the unique Laibon title of Akunanse Kholo (worth 2 votes). Not usable if there are any older ready untitled Laibon Akunanse. Whenever this vampire is not a ready Laibon Akunanse or there is an older ready untitled Laibon Akunanse, move this card to (one of) the oldest ready untitled Laibon Akunanse (if any).","","LoB:PA","","","Ken Meyer, Jr.","",""
"100035","Al's Army Apparatus","","Master","Brujah","","","","","","Master: unique location.
During your minion phase, you may lock this card to search your library for a weapon and move it to your hand (shuffle and discard afterward).","","Jyhad:R2, VTES:R, CE:R, KoT:R","","","Steve Ellis; Robert McNeill","",""
"100036","Alacrity","","Action Modifier","","Celerity","","2","","","[cel] +1 stealth.
[CEL] As above, and if this action is blocked, this acting vampire gets an optional maneuver during the first round of the resulting combat.","","AH:C2, CE:U, Anarchs:PAB, LoB:PI3, Third:PB2","","","L. A. Williams","",""
"100037","Alamut","","Master","Assamite","","1","","","","Unique location.
After an Assamite you control successfully bleeds a Methuselah, put the pool lost by that Methuselah on this card. Burn X counters from this card during the polling step of a political action to give a vampire you control +X votes.","","AH:R2, FN:PA, 25th:1, POD:DTC","","","Pat Morrissey","",""
"100038","Alastor","","Political Action","","","","","","","Requires a justicar or Inner Circle member.
Choose a ready Camarilla vampire. If this referendum is successful, search your library for an equipment card and place this card and the equipment on the chosen vampire. Pay half the cost (round down) of the equipment. This vampire may enter combat with any vampire controlled by another Methuselah as a +1 stealth (D) action. This vampire cannot commit diablerie. A vampire may have only one Alastor.","","Gehenna:R, KMW:PAl, KoT:R","justicar,inner circle","","Monte Moore","",""
"100039","Alia, God's Messenger","","Ally","","","","","","","Unique dhampir with 2 life. 1 strength, 0 bleed.
Requires at least two Gehenna cards in play. Alia can play cards that require basic Auspex [aus] or Obeah [obe] as a vampire. She may move a vampire in your torpor region to your ready region as a +1 stealth action. (D) actions directed at her cost an additional pool.","","Gehenna:R","2 Gehenna","","Thomas Denmark","",""
"100040","Alpha Glint","","Combat","","Animalism & Fortitude","","1","","","Not usable in combat with an ally or an older vampire.
[ani][for] Strike: combat ends.
[ANI][FOR] Only usable before range is determined. Combat ends.","","BH:C","","","Peter Bergting","",""
"100041","Alvusia","","Master","Tremere","","","","","","Unique.
Put this card in play with 1 counter for each Tremere and Gargoyle you control. During an action, you can burn 1 counter from this card to give a slave Gargoyle you control +1 bleed or +1 strength. Add 1 counter on this card after a Tremere or Gargoyle enters play during your influence phase. Burn this card if it has no counters.","","LK:2","","","Jared Smith","",""
"100042","Amam the Devourer","Amam the Devourer (Bane Mummy)","Ally","Follower of Set","","2","","","","Unique mummy with 3 life. 2 strength, 0 bleed.
Amam can enter combat with a minion as a (D) action. Amam can burn a vampire in torpor to gain 1 life as a (D) action. If a minion opposing Amam in combat is burned, Amam can gain 1 life. If Amam is burned, shuffle him into his owner's library.","","FN:R2, POD:DTC","","","Lawrence Snelly","",""
"100043","Amaranth","","Combat","","","","","","","Only usable by a vampire who can commit diablerie. Only usable when the opposing vampire should go to torpor. Diablerize the opposing vampire instead. Not usable by a vampire being burned or going to torpor.","Thou shalt not slay thy sire and drink his heart's blood.
The Book of Nod","Jyhad:U, VTES:U, CE:U, Anarchs:PAG, BH:PTo2, Third:PTz, KoT:U","","","Jeff Menges; Alejandro Collucci","",""
"100044","Ambrosius, The Ferryman","Ambrosius, The Ferryman (Wraith)","Ally","Giovanni","","3","","","","Unique wraith with 2 life. 1 strength, 0 bleed.
Ambrosius can move a retainer from your ash heap to a ready vampire you control and put 3 pathos counters on that retainer as an action. During your unlock phase, burn 1 pathos counter from that retainer. Remove the retainer from the game if it has no pathos counters. Ambrosius is immune to non-aggravated damage.","","AH:R2, FN:PG, POD:DTC","","","Alan Rabinowitz","",""
"100045","Ambulance","","Equipment","","","1","","","","Vehicle.
After a combat between this acting minion and a blocking minion, you may lock the Ambulance to continue the action as if unblocked. If the action is blocked again, burn this card. This minion may lock the Ambulance to attempt to burn an incapacitated imbued as a +1 stealth (D) action. A minion may have only one vehicle.","","LotN:R","","","John Bridges","",""
"100046","Ambush","","Action","","","","","","","(D) Enter combat with a locked minion. This acting minion gets 1 optional maneuver during that combat.","We will strike from the shadows when the time is right, and all will fall before us.
Cameron, Lasombra","Sabbat:C, SW:C/PB5/PL, FN:PA3, Anarchs:PAG2, BH:PN5, KMW:PG3, FB:PN3","","","Mark Poole","",""
"100047","Amria","","Combat","","Chimerstry","","","","","[chi] Maneuver, only usable to go to long range.
[CHI] Strike: dodge, with an optional press, only usable to end combat.","Be wary then; best safety lies in fear.
Shakespeare, ""Hamlet"", act I, scene 3","FN:C2/PR, LotN:PR2","","","Michael Gaydos","",""
"100048","Amulet of Temporal Perception","","Equipment","","","","","","","Unique.
This vampire can burn 1 blood to play a card requiring basic Temporis [tem] from your hand. This equipment can be used only once each turn.","","HttB:R/B1","","","Nicolas Bigot","",""
"100049","Amusement Park Hunting Ground","","Master","Brujah antitribu","","2","","","","Master: unique location. Hunting ground.
During your unlock phase, you may move 1 blood from the blood bank to a ready vampire you control. A vampire can gain blood from only one hunting ground card each turn.","Definitely an E ticket!
Julie, Brujah antitribu","Sabbat:U, SW:U/PB, Third:PB","","","Dave Seeley","",""
"100050","Anachronism","","Master","","","1","","","","Master.
Put this card on a vampire with capacity above 6. This vampire cannot have or use any ranged weapons except the Ivory Bow. (If he or she currently has any, they are burned.)","","AH:C2, Tenth:B","","","Drew Tucker","",""
"100051","Ananasi Vampirephile","","Ally","Guruhi","","4","","","","Werewolf with 4 life. 2 strength, 1 bleed.
Ananasi gets an optional maneuver each combat. Once each combat, she can burn a life during the press step to get a press and set the range in the next round of that combat, if any. She can gain a life as a +1 stealth action. Once each turn, she may play a card that requires basic Animalism [ani] as a vampire.","","LoB:R","","","James Stowe","",""
"100052","Anarch Free Press, The","","Master","","","1","","","","Unique master. Requires a ready anarch.
Put this card into play. You may lock this card to give an anarch you control +1 intercept for the current action. You may lock this card when an anarch successfully hunts to give that anarch an extra blood from the blood bank.","","Anarchs:C","anarch","","Andrew Trabbold","",""
