"Id","Name","Aka","Type","Clan","Adv","Group","Capacity","Disciplines","Card Text","Set","Title","Banned","Artist"
"200001","Aabbt Kindred","","Vampire","Follower of Set","","2","4","for pre ser","Independent: Aabbt Kindred cannot perform directed actions unless /Nefertiti/ is ready. Aabbt Kindred can prevent 1 damage each combat. Non-unique.","FN:U2, POD:DTC","","","Lawrence Snelly"
"200002","Aaron Bathurst","","Vampire","Nosferatu antitribu","","4","4","for obf pot","Sabbat.","Third:V","","","Rik Martin"
"200003","Aaron Duggan, Cameron's Toady","","Vampire","Lasombra","","2","2","obt","Sabbat.","Sabbat:V, SW:U, POD:DTC","","","Eric LaCombe"
"200004","Abd al-Rashid","","Vampire","Assamite","","2","5","obf CEL QUI","Independent: Blood cursed.","AH:V3, FN:PA, POD:DTC","","","Tom Wänerstrand"
"200005","Abdelsobek","","Vampire","Follower of Set","","5","5","for nec obf pre ser","Independent: Abdelsobek can unlock a vampire or mummy you control as a +1 stealth action.","LotN:U, POD:DTC","","","Ken Meyer, Jr."
"200006","Abebe","","Vampire","Samedi","","4","4","nec obf thn","Independent.","LoB:U, HttB:PSam","","","James Stowe"
"200007","Abid bin Haji, Scholar of Mirrors","","Vampire","Assamite","","6","7","AUS CEL OBF QUI","Camarilla: Blood cursed.","TU:C/A2","","","Ginés Quiñonero"
"200008","Abiku","","Vampire","Osebo","","4","6","cel obt AUS POT","Laibon: Abiku gets +1 stealth when hunting.","EK:U","","","Mathias Kollros"
"201623","Abraham DuSable","","Vampire","Tremere","","6","8","AUS DOM FOR THA","Camarilla: During an action, Abraham can discard a card requiring Blood Sorcery [tha] to get +1 intercept or +1 stealth.","NB:PTr1","","","Ken Meyer, Jr."
"200009","Abu Nuwasi","","Vampire","Ishtarri","","4","3","cel for","Laibon.","EK:U","","","Brian LeBlanc"
"200010","Accorri Giovanni","","Vampire","Giovanni","","5","6","ani nec DOM POT","Independent.","LotN:U, POD:DTC","","","Lawrence Snelly"
"200011","Adana de Sforza","","Vampire","Brujah","","4","11","aus CEL OBF POT PRE PRO","Camarilla Brujah Inner Circle: Combat cards cost Adana 1 fewer blood. +2 bleed.","KoT:PB2/A2","inner circle","","Marian Churchland"
"200012","Adelaide Davis","","Vampire","Malkavian","","3","4","aus dem obf","Camarilla.","CE:V, BSC:X","","","Ken Meyer, Jr."
"200013","Adhiambo","","Vampire","Tzimisce","","4","6","pot ANI VIC","Laibon: Adhiambo gets +1 stealth when equipping with a weapon from your hand and +1 stealth on actions to enter combat with other minions.","LoB:U","","","Richard Thomas"
"200014","Adonai","","Vampire","Salubri antitribu","","2","7","for AUS VAL","Sabbat: Adonai can enter combat with any ready Camarilla vampire controlled by another Methuselah as a (D) action. He gets +1 strength when in combat with a Tremere. +1 bleed.","BL:U1","","","Lawrence Snelly"
"200015","Adri, The Seeker","","Vampire","Ravnos","","6","2","for","Independent: Adri gets +1 intercept against Followers of Set.","TU:C/A2","","","Riccardo Fabiani"
"200016","Adrianne","","Vampire","Toreador","","1","6","aus cel pot pre","Camarilla: +1 bleed.","Jyhad:V, VTES:V, Tenth:B","","","Scott Kirschner"
"200017","Aeron","","Vampire","Nosferatu antitribu","","3","9","aus pro ANI OBF POT","Sabbat Archbishop of London: Minions opposing Aeron in combat take an additional point of damage during strike resolution if the range is close. Once each combat, Aeron may burn a blood for a press.","Gehenna:U","archbishop","","Ken Meyer, Jr."
"200018","Afifa, The Herald","","Vampire","Caitiff","","4","1","dom","Camarilla: When you put a Gehenna card in play, your prey burns 1 pool. If you do not put a Gehenna card in play during your discard phase, a ready vampire you control other than Afifa burns 1 blood, or you burn 1 pool.","Gehenna:U","","","Albrecht"
"200019","Agaitas, The Scholar of Antiquities","","Vampire","Harbinger of Skulls","","2","6","for AUS NEC","Sabbat: When you play a card, you may draw its replacement from your prey's library instead of your own. Put the card drawn face-up in front of you. It is still considered to be in your hand, to be played or discarded as normal.","BL:U2","","","Christopher Shy"
"200020","Agatha","","Vampire","Nosferatu antitribu","","2","4","obf POT","Sabbat.","Sabbat:V, SW:U","","","John Bolton"
"200021","Ági","","Vampire","Blood Brother","","6","6","FOR SAN VIC","Sabbat: Cards requiring Sanguinus [san] cost Ági 1 fewer blood. Budapest circle. Sterile.","LK:2","","","Noora Hirvonen"
"200022","Agrippina","","Vampire","Nosferatu","","1","4","pot OBF","Camarilla.","Jyhad:V, VTES:V, Tenth:A","","","Brian Snoddy"
"200023","Agru Kabera","","Vampire","Ishtarri","","4","6","cel nec pre FOR","Laibon: +1 bleed.","LoB:U","","","Ken Meyer, Jr."
"200024","Ahmose Chambers","","Vampire","Follower of Set","","5","3","obf ser","Independent.","LotN:U, POD:DTC","","","Leif Jones"
"200025","Aidan Lyle","","Vampire","Tremere","","5","7","dom AUS CHI THA","Camarilla: Aidan gets 1 optional press each combat.","KoT:V/B1, FB:PTr1","","","Leif Jones"
"200026","Aimee Laroux","","Vampire","Daughter of Cacophony","","4","2","for pre","Independent: You may use four transfers and burn 1 pool to give Aimee an additional level of Melpominee [mel]. Aimee cannot play reaction cards.","LoB:U","","","Lawrence Snelly"
"200027","Aimery Methuin","","Vampire","Ventrue antitribu","","5","7","ani pot AUS DOM FOR","Sabbat: Younger Camarilla vampires get -1 intercept against Aimery.","DM:C/2","","","Gábor Németh"
"200028","Aisata Swanou","","Vampire","Akunanse","","5","7","abo ANI FOR VIC","Laibon: During your master phase, you may draw a card and move a card from your hand to either your ash heap or the top of your library.","EK:U","","","Leif Jones"
"200029","Aisha","","Vampire","Follower of Set","","2","6","ani aus ser PRE","Independent: Once each turn, Aisha can burn 1 blood to get +1 intercept for the current action.","AH:V3, FN:PS1, POD:DTC","","","Alan Rabinowitz"
"200030","Aisha az-Zahra","","Vampire","Toreador","","5","9","obf qui AUS CEL PRE","{Anarch}: {During the polling step of any referendum}, Aisha can burn 1 blood to get +1 vote for each ready anarch you control. +1 bleed.","Anthology:LARP1","","","Riccardo Fabiani"
