Id,Name,Card Text
100001,Magnum .44,"Arme à feu.
Frapper à toute portée : 2 points de dégâts, avec 1 manœuvre optionnelle durant chaque combat."
102217,Les Royaux de la 47e rue,"Mortel unique avec 2 points de vie. 1 en force, 0 en morsure.
Vous pouvez brûler ce serviteur pour réduire de 3 une morsure contre vous."
100015,"École, terrain de chasse","Lieu unique. Terrain de chasse.
Durant votre phase de redressement, un vampire disponible que vous contrôlez peut gagner 1 point de sang. Un vampire ne peut gagner de points de sang que d'un seul terrain de chasse à chaque tour."
100018,Beauté douloureuse,"Mettez cette carte sur un Toréador. Si ce Toréador est bloqué, le contrôleur du serviteur qui bloque brûle 1 point de réserve avant la résolution du blocage."
100029,Aide des chauves-souris,"[ani] Frapper à toute portée : 1 point de dégâts, avec 1 manœuvre optionnelle.
[ANI] Comme ci-dessus, avec 1 poursuite optionnelle."
100031,Exaltation,"Seulement utilisable durant une action de morsure.
[pre] +1 en morsure, avec +1 en morsure supplémentaire si ce vampire est Toréador (limité).
[PRE] +2 en morsure, avec +1 en morsure supplémentaire si ce vampire est Toréador (limité)."
100037,Alamut,"Lieu unique.
Après qu'un Assamite que vous contrôlez mord avec succès un Mathusalem, mettez les points de réserve perdus par ce Mathusalem sur cette carte. Brûlez X compteurs de cette carte durant l'étape de vote d'une action politique pour donner +X voix à un vampire que vous contrôlez."
100046,Embuscade,(D) Entrer en combat contre un serviteur incliné. Le serviteur qui agit reçoit 1 manœuvre optionnelle durant ce combat.
100052,Presse libre Anarch,"Unique. Requiert un Anarch disponible.
Mettez cette carte en jeu. Vous pouvez l'incliner pour donner +1 en interception à un Anarch que vous contrôlez. Vous pouvez l'incliner après qu'un Anarch chasse avec succès pour ajouter 1 point de sang à cet Anarch."
100054,Chemin de fer Anarch,"Lieu unique.
Vous pouvez l'incliner pour donner +1 en discrétion à un Anarch."
100058,Anarch fauteur de trouble,"Unique.
Mettez cette carte en jeu. Durant votre phase de redressement, vous pouvez donner le contrôle de l'Anarch fauteur de trouble à votre proie et soit incliner jusqu'à deux vampires sous son contrôle, soit brûler un équipement sur l'un de ses serviteurs."
100059,Soulèvement d'anarchistes,"Si le référendum passe, chaque Mathusalem brûle 1 point de réserve pour chaque serviteur sous son contrôle."
100064,Influence antique,"Pas plus d'un seul exemplaire ne peut être joué ou appelé par partie.
Si le référendum passe, chaque Mathusalem peut choisir un vampire disponible sous son contrôle ; chaque Mathusalem gagne autant de points de réserve que la capacité du vampire de son choix, puis brûle 5 points de réserve."
100065,Ascension des ancillas,"Si le référendum passe, chaque Mathusalem brûle 1 point de réserve pour chaque serviteur sous son contrôle."
100070,Animalisme,"Discipline.
Mettez cette carte sur un vampire. Ce vampire reçoit +1 niveau d'Animalisme [ani] et +1 capacité. Ne peut être mis sur un vampire avec le niveau supérieur d'Animalisme [ANI]."
100071,"La citadelle d'Ankara, Turquie","Tant qu'elle est en jeu, cette carte d'équipement représente un lieu et ne compte pas comme équipement. Unique.
Les cartes qui ne sont pas des modificateurs d'action coûtent moitié moins de points de sang à jouer, arrondie à l'inférieur (les multiplications et divisions s'appliquent en premier, suivies par les additions et soustractions)."
100077,Télétransport,"[tha] Poursuivre, seulement utilisable pour continuer le combat.
[THA] Manœuvrer."
100081,Bibliothèque des arcanes,"Lieu unique.
Vous pouvez l'incliner durant votre phase d'influence pour ajouter 1 point de sang à un Tremere dans votre région incontrôlée."
100093,Armée de rats,"Action à +1 en discrétion.
[ani] Mettre cette carte en jeu. Durant votre phase de redressement, votre proie brûle 1 point de réserve. Vous ne pouvez brûler qu'1 seul point de réserve chaque tour avec des cartes /Armée de rats/. N'importe quel serviteur peut brûler cette carte en action (D)."
100095,Musée d'art,"Lieu unique.
Vous pouvez l'incliner durant votre phase d'influence pour ajouter 1 point de sang à un Toréador dans votre région incontrôlée."
100099,Arnaque artistique,"Action à +1 en discrétion.
Gagnez 2 points de réserve."
100108,"Asile, terrain de chasse","Lieu unique. Terrain de chasse.
Durant votre phase de redressement, un vampire disponible que vous contrôlez peut gagner 1 point de sang. Un vampire ne peut gagner de points de sang que d'un seul terrain de chasse à chaque tour."
100126,Voies détournées,"Lieu unique.
Vous pouvez l'incliner pour donner +1 en discrétion à un Gangrel que vous contrôlez."
102218,Leurre,"Requiert un baron. Seulement utilisable si un serviteur est en train de vous mordre, après avoir renoncé à bloquer.
Inclinez ce vampire qui réagit. Redirigez la morsure vers un autre Mathusalem autre que le contrôleur du serviteur qui agit (ce Mathusalem peut tenter de bloquer)."
100131,Bannissement,"Choisissez un vampire plus jeune et disponible. Si le référendum passe, le vampire choisi est déplacé vers la région incontrôlée (rompant tous les effets de contrôle temporaire) ; toutes cartes et compteurs sur le vampire choisi restent avec lui mais sont hors du jeu tant que le vampire choisi reste incontrôlé."
100135,La zone,"Lieu unique.
Vous pouvez l'incliner pour défausser une carte (et repiocher)."
100145,Peau de l'ours,"Seulement utilisable avant l'étape de manœuvre. Un vampire ne peut en jouer qu'un seul exemplaire par combat.
[ani][pro] Ce round-ci, ce vampire reçoit +1 en force et peut prévenir 1 point de dégâts.
[ANI][PRO] Ce combat, ce vampire reçoit +1 en force et peut prévenir 1 point de dégâts durant chaque round."
100146,Fusion avec la bête,"[ani][pro] +1 en discrétion. Si ce vampire est bloqué, il peut prévenir 1 point de dégâts durant le combat résultant.
[ANI][PRO] Seulement utilisable lors de l'annonce d'une action qui n'est pas une morsure. Les vampires ne peuvent pas bloquer cette action."
100157,Discours ensorcelant,"Seulement utilisable durant l'étape de vote d'une action politique.
[pre] Ce vampire reçoit +2 voix.
[PRE] Ce vampire reçoit +4 voix."
100162,Expérience biothaumaturgique,"Action à +1 en discrétion.
[tha] Employer un compagnon animal de votre main en ignorant ses prérequis (payez le coût normalement).
[THA] Mettre cette carte sur un serviteur que vous contrôlez. Le serviteur attaché reçoit 1 manœuvre optionnelle durant chaque combat et +1 en force."
100169,Sombre métamorphose,"Action à +1 en discrétion.
[obt] Mettez cette carte sur ce vampire. Ce vampire reçoit 1 frappe additionnelle optionnelle (limité) durant chaque round. Un vampire ne peut en avoir qu'un seul exemplaire.
[OBT] Comme ci-dessus et ce vampire reçoit 1 poursuite optionnelle durant chaque combat."
100177,Couvert de la nuit,"[obt] +1 en discrétion.
[OBT] Seulement utilisable par un vampire disponible autre que le serviteur qui agit si un serviteur tente de bloquer. Inclinez le vampire qui joue cette carte pour faire échouer cette tentative ; le serviteur qui bloque ne peut pas tenter de bloquer cette action à nouveau."
100199,Poupée de sang,"Mettez cette carte sur un vampire que vous contrôlez. Durant sa phase de maître, le contrôleur de ce vampire peut déplacer 1 point de sang de ce vampire vers sa réserve ou de sa réserve vers ce vampire."
100208,Rage sanguinaire,"Seulement utilisable au contact.
[tha] Frapper : frappe à mains nues. Les dégâts infligés par cette frappe ne peuvent pas être prévenus par les cartes qui requièrent Force d'âme [for]. Les frappes avec des armes du vampire opposé n'infligent pas de dégâts ce round-ci.
[THA] Comme ci-dessus et cette frappe à mains nues est à +1 point de dégâts."
100236,Sociabilisation,"Seulement utilisable durant une action de morsure.
[dom] +1 en morsure (limité).
[DOM] +1 en discrétion et +1 en morsure (limité)."
100243,Coupe de convergence,"Unique.
Son possesseur avec Auspex [aus] reçoit +1 en interception. Son possesseur avec le niveau supérieur d'Auspex [AUS] peut brûler 1 point de sang durant une action pour recevoir +1 en interception supplémentaire."
100250,Souffle du dragon,"[vic] Frapper à toute portée : 1 point de dégâts aggravés. Si cette frappe est utilisée au contact, ce vampire subit également ces dégâts.
[VIC] Comme ci-dessus, mais pour 2 points de dégâts aggravés à toute portée."
100286,Esclave de sang de la Camarilla,"Compagnon avec 1 point de vie.
Ce vampire reçoit +1 capacité. Durant sa phase de maître, il peut choisir une Discipline qu'il a au niveau inférieur et recevoir +1 niveau de la Discipline choisie jusqu'à sa prochaine phase de maître."
100297,Abbaye de Carfax,"Requiert un Anarch disponible. Lieu unique. Terrain de chasse.
Durant votre phase de redressement, un Anarch disponible que vous contrôlez peut gagner 1 point de sang et, si vous contrôlez un baron disponible, un autre Anarch disponible que vous contrôlez peut gagner 1 point de sang également. Un vampire ne peut gagner de points de sang que d'un seul terrain de chasse à chaque tour."
100298,Carlton Van Wyk,"Mortel unique avec 2 points de vie. 0 en force, 0 en morsure.
Carlton peut frapper à toute portée : 1 point de dégâts. Une fois par combat, il peut frapper : esquiver. Carlton reçoit +1 en interception contre les vampires. Durant votre phase de défausse, vous pouvez brûler Carlton pour brûler un vampire qui a commis une diablerie depuis votre dernier tour."
100301,Corneilles noires,"Seulement utilisable avant l'étape de manœuvre. Un vampire ne peut en jouer qu'un seul exemplaire par combat.
[ani] Le serviteur opposé subit 1 point de dégâts environnementaux à toute portée chaque round de ce combat durant la résolution des frappes normales.
[ANI] Comme ci-dessus, mais pour 2 points de dégâts environnementaux à toute portée."
