"Id","Name","Name pt-PT","Card Text"
100121,Baal's Bloody Talons,"
Garras Sangrentas de Baal","Somente utilizável antes da resolução de golpe de uma arma branca.
[qui] O dano causado pelos golpes desta arma é agravado nesta rodada. Queime esta arma no final desta rodada.
[QUI] Como acima, e esta arma causa +1 de dano agravado a cada golpe nesta rodada."
102213,Creeping Sabotage,"
Sabotagem Sorrateira","Ação com +1 de furtividade.
X é o número de Sabotagens Sorrateiras que você controla. Coloque esta carta em jogo. Durante sua fase de destravar, sua presa queima 1 de recurso. Qualquer servo pode queimar esta carta com uma ação (D)."
102234,City Star Taxi,666 Táxi da cidade,"Mortal com 2 de vida. 0 de força, 0 de sangrar.
Este aliado pode golpear: 1Di de dano. Este aliado recebe 1 manobra opcional por combate. Este aliado pode travar para dar a um Ravnos que você controla +1 de furtividade."
102227,Hunger of Marduk,A Fome de Marduk,"Somente utilizável antes da distância ser determinada.
[tha] Nesta rodada, este vampiro pode golpear, Di: roube 1 de sangue ou vida (transformada em sangue).
[THA] Como acima, mas roube 2 de sangue ou vida (transformada em sangue)."
100163,"Bitter and Sweet Story, The",A História Doce e Amarga,"Evento.
Cada Matusalém recebe +2 de tamanho de mão para cada ponto de vitória que ele ou ela possui."
102142,"Wall Street Night, Financial Newspaper","A Noite de Wall Street, Jornal Financeiro","Mestre: Local único.
Trave durante uma ação indireta para dar a um servo que você controla +1 de percepção durante a ação atual. Trave para escolher um servo que você controla. Uma vez neste turno, o servo escolhido pode mover um contador de uma carta de investimento controlada por qualquer Matusalém para seus recursos como uma ação (D) com +1 de furtividade."
100782,Fourth Tradition: The Accounting,A Quarta Tradição: A Responsabilidade,"Ação com +1 de furtividade. Requer um príncipe ou justicar.
Adicione 3 de sangue a um vampiro mais jovem em sua região não controlada."
100727,Fifth Tradition: Hospitality,A Quinta Tradição: Hospitalidade,"Ação com +1 de furtividade. Requer um Príncipe ou Justicar.
Adicione 4 de sangue a um outro vampiro. "
101706,Second Tradition: Domain,A Segunda Tradição: O Domínio,"Requer um príncipe ou justicar.
+2 de percepção. Também utilizável por um príncipe ou justicar travado, mesmo que a percepção ainda não seja necessária, queime 1 de sangue para destravar e tentar bloquear com +2 de percepção."
101967,Their Master's Voice,A Voz de Seu Mestre,"Utilizável por um vampiro travado.
Destrave um aliado Gárgula ou um escravo Gárgula pronto que você controla."
100004,Abactor,Abactor,"Ação com +1 de furtividade. Caçar com +4 de caçar. Se a caçada for bem-sucedida, um referendo é convocado após a resolução para declarar uma caçada de sangue neste vampiro (independentemente da ação, como se este tivesse cometido diablerie)."
100006,Abbot,Abade,"Ação com +1 de furtividade. Requer um vampiro do Sabá.
Coloque esta carta neste vampiro agente do Sabá e destrave-o. Este vampiro do Sabá recebe +1 de percepção contra ações (D) diretas a seu controlador. Um vampiro pode ter somente um Abade."
100297,Carfax Abbey,Abadia Carfax,"Requer um Anarquista pronto. Local único. Campo de caça.
Durante sua fase de destravar, um Anarquista que você controla pode ganhar 1 de sangue, e se você controla um barão pronto, outro Anarquista pronto que você controla também pode ganhar 1 de sangue. Um vampiro só pode ganhar sangue de um campo de caça por turno."
100005,Abandoning the Flesh,Abandonar a Carne,"Somente utilizável por um vampiro sendo queimado. Utilizável por um vampiro em torpor.
[dem] Remova esse vampiro do jogo (diablerie, se possível, ainda é bem suscedida). e coloque essa carta em jogo.
Você não pode jogar essa carta se já possuir um Abandonando a Carne em jogo. Trave durante uma ação de sangrar para dar ao vampiro agente com Demência [dem] +1 de sangrar."
101801,Slaughtering the Herd,Abatendo o Rebanho,"[dom] (D) Sangrar com +2 de sangrar. Aliados não podem bloquear esta ação.
[DOM] (D) Coloque esta carta em um vampiro controlado por seu predador. Toda vez que o vampiro portador anunciar uma ação, ele move 1 de seu sangue para este vampiro agente. O vampiro portador pode queimar 4 de sangue durante sua fase de servo para queimar esta carta. Queime esta carta depois que este vampiro agente deixar a região pronta."
100009,Abombwe,Abombwe,"Disciplina. Trivial.
Coloque esta carta em um Laibon ou em um vampiro com Metamorfose [pro]. Este vampiro recebe +1 de nível de Abombwe [abo] e +1 de capacidade. Não pode ser colocado em um vampiro com Abomwbe superior [ABO]."
100633,"Embrace, The","Abraço, O","Ação com +1 de furtividade. Requer um vampiro não estéril.
Coloque esta carta em jogo; ela se torna um vampiro não único, com 1 de capacidade, do mesmo clã e seita do vampiro agente e deve caçar neste turno."
102194,Wormwood,Absinto,"Gehenna.  Requer 1 ou mais outros eventos de Gehenna em jogo. Não reponha até sua próxima fase de descarte.
Esta carta entra em jogo com 10 contadores. Depois que outro evento de Gehena é jogado, queime 1 contador desta carta. Vampiros de capacidade maior que X são considerados de capacidade X (mínimo de 1), onde X é a quantidade de contadores nesta carta."
100111,Aura Absorption,Absorção da Aura,"[aus] [REACTION] Este vampiro queima 1 de sangue para receber +1 de percepção.
[myt] [REACTION] +1 de percepção.
[MYT] [ACTION MODIFIER] +1 de furtividade."
101817,Soak,Absorver,"Um vampiro pode jogar somente uma Absorver a cada rodada.
[for] Previna 2 de dano não agravado.
[FOR] Previna 4 de dano não agravado."
100013,Absorb the Mind,Absorver a Mente,"[dom] Golpe: esquiva.
[myt] Golpe: a qualquer distância. Roube 1 de sangue.
[MYT] Golpe: a qualquer distância. Roube 1 de sangue e roube 1 carta mestre de Disciplina do vampiro oponente (coloque-a neste vampiro que infligiu o golpe)."
100495,Dark Steel,Aço Sombrio,"Somente utilizável antes da distância ser determinada. Um vampiro pode jogar somente um Aço Sombrio por combate.
[obt][pot] O servo oponente recebe 1 de dano ambiental em cada rodada deste combate durante a resolução normal de golpe à curta distância. Este vampiro recebe 1 manobra opcional nesta rodada, somente utilizável para manobrar para curta distância.
[OBT][POT] Como acima, mas com 2 de dano ambiental."
100020,Acrobatics,Acrobacias,"[cel] Golpe adicional (limitado).
[CEL] Golpe: esquiva, com 1 golpe adicional (limitado)."
100022,Adhocracy,Adhocracia,"Requer um Anarquista.
[ani] Somente utilizável durante uma ação de sangrar. +1 de sangrar (limitado).
[chi] Somente utilizável durante a etapa de votação de uma ação política. Este Anarquista recebe +3 votos.
[pot] Se este Anarquista for bloqueado, ele recebe +1 de força durante o combate resultante."
100959,Immortal Grapple,Agarrão Imortal,"Agarrão. Somente utilizável a curta distância antes da escolha dos golpes. Um vampiro pode jogar somente um Agarrão Imortal a cada rodada.
[pot] Golpes que não sejam golpes de mão não podem ser usados nesta rodada (por qualquer combatente).
[POT] Como acima, com 1 pressionar opcional. Se ocorrer outra rodada de combate, essa rodada será a curta distância (pule a etapa de determinar a distância desta rodada)."
102237,ECTU Operative,Agente da ECTU,"Mortal com 3 de vida. 1 de força, 0 de sangrar. Operação Antígeno.
Agente da ECTU pode golpear: 1Di de dano. Ele recebe 1 manobra opcional por combate. Ele pode queimar um vampiro em torpor com uma ação (D)."
100025,Agent of Power,Agente de Poder,"Única. Disciplina. Trivial.
Escolha qualquer Disciplina e coloque esta carta em um vampiro que você controla. Este vampiro recebe +1 nível da Disciplina escolhida. Queime esta carta durante sua fase de descarte."
100514,Deep Cover Agent,Agente Infiltrado,"Ação com +1 de furtividade. Requer um Serafim. Única.
(D) Coloque essa carta em um vampiro pronto mais jovem. Você ainda controla essa carta. Durante sua fase de destravar, você pode ver a mão do controlador desse vampiro. Esse vampiro pode queimar essa carta como uma ação (D)."
